# https://finance.yahoo.com/quote/BTC-USD/history/,,,,
Open,High,Low,Volume,Close
30297.47266,30437.56055,30089.66992,8516564470,30249.13281
30249.62695,30336.40039,29685.7832,13240156074,30145.88867
30147.07031,30233.65625,29556.42773,13138897269,29856.5625
29862.04688,30184.18164,29794.26953,12128602812,29913.92383
29915.25,30195.53125,29638.0957,14655207121,29792.01563
29805.11133,30045.99805,29733.85156,10972789818,29908.74414
29908.69727,29991.61523,29664.12109,7873300598,29771.80273
29790.11133,30330.64063,29741.52734,9220145050,30084.53906
30081.66211,30093.39453,28934.29492,15395817395,29176.91602
29178.9707,29353.16016,29062.43359,10266772793,29227.39063
29225.75977,29675.55273,29113.91211,13497554655,29354.97266
29353.79883,29560.9668,29099.35156,10770779217,29210.68945
29212.16406,29521.51367,29125.8457,11218474952,29319.24609
29319.44531,29396.84375,29264.16602,6481775959,29356.91797
29357.09375,29443.16992,29059.50195,8678454527,29275.30859
29278.31445,29489.87305,29131.57813,11656781982,29230.11133
29230.87305,29675.73242,28657.02344,18272392391,29675.73242
29704.14648,29987.99805,28946.50977,19212655598,29151.95898
29161.8125,29375.70703,28959.48828,12780357746,29178.67969
29174.38281,29302.07813,28885.33594,12036639988,29074.0918
29075.38867,29102.46484,28957.79688,6598366353,29042.12695
29043.70117,29160.82227,28963.83398,7269806994,29041.85547
29038.51367,29244.28125,28724.14063,13618163710,29180.57813
29180.01953,30176.79688,29113.81445,17570561357,29765.49219
29766.69531,30093.43555,29376.80078,18379521213,29561.49414
29563.97266,29688.56445,29354.44727,11865344789,29429.5918
29424.90234,29517.77344,29253.51758,10195168197,29397.71484
29399.78711,29465.11328,29357.58789,6194358008,29415.96484
29416.59375,29441.43359,29265.80664,7329897180,29282.91406
29283.26367,29660.25391,29124.10547,14013695304,29408.44336
29408.04883,29439.12109,29088.85352,12640195779,29170.34766
29169.07422,29221.97656,28701.7793,14949271904,28701.7793
28699.80273,28745.94727,25409.11133,31120851211,26664.55078
26636.07813,26808.19531,25668.92188,24026236529,26049.55664
26047.83203,26249.44922,25802.4082,10631443812,26096.20508
26096.86133,26260.68164,26004.31445,9036580420,26189.58398
26188.69141,26220.20117,25846.08789,13371557893,26124.14063
26130.74805,26135.50781,25520.72852,14503820706,26031.65625
26040.47461,26786.89844,25804.99805,16985265785,26431.64063
26431.51953,26554.91016,25914.92578,12871532023,26162.37305
26163.67969,26248.10352,25786.8125,12406045118,26047.66797
